city,protests,change
"houston, TX",5,-0.25
"memphis, TN",4,0.0
"atlanta, GA",15,0.23076923076923078
"oklahomacity, OK",0,-0.3
"phoenix, AZ",8,0.14285714285714285
"tulsa, OK",0,-0.2
"losangeles, CA",22,-0.2
"milwaukee, WI",17,0.2
"detroit, MI",4,0.16666666666666666
"jacksonville, FL",4,-0.3333333333333333
"st.louis, MO",32,0.03225806451612903
"kansascity, MO",3,0.2857142857142857
"chicago, IL",27,-0.12727272727272726
"cleveland, OH",19,-0.5555555555555556
"charlotte, NC",6,0.09090909090909091
"louisville, KY",3,-0.1111111111111111
"baltimore, MD",16,-0.12
"brooklyn, NY",1,0.38461538461538464
"newyork, NY",43,-0.7647058823529411
"bronx, NY",1,0.25
"miami, FL",4,-0.23076923076923078
"dallas, TX",7,-0.42857142857142855
"washington, DC",22,-0.36363636363636365
"batonrouge, LA",2,0.2
"columbus, OH",2,0.0
"lasvegas, NV",1,0.3333333333333333
"indianapolis, IN",2,-0.5
"orlando, FL",5,-0.14285714285714285
"neworleans, LA",3,-0.3333333333333333
"newark, NJ",5,1.0
"philadelphia, PA",11,0.18181818181818182
"oakland, CA",17,-0.6
