city,protests,change
"phoenix, AZ",8,0.061224489795918366
"memphis, TN",4,-0.21739130434782608
"laredo, TX",0,0.42857142857142855
"lasvegas, NV",1,0.02040816326530612
"st.paul, MN",2,0.09090909090909091
"santaana, CA",0,0.125
"tacoma, WA",1,0.4
"anaheim, CA",0,0.09090909090909091
"seattle, WA",16,-0.4166666666666667
"philadelphia, PA",11,-0.08571428571428572
"tucson, AZ",2,0.12195121951219512
"redding, CA",0,0.25
"sacramento, CA",3,0.0
"reno, NV",1,0.25
"losangeles, CA",22,-0.10679611650485436
"omaha, NE",0,-0.25
"atlanta, GA",15,0.2
"columbus, OH",2,0.21052631578947367
"portland, OR",11,0.0
"sanantonio, TX",5,-0.02127659574468085
"elpaso, TX",1,-0.23076923076923078
"dayton, OH",1,-0.3333333333333333
"aurora, CO",2,-0.07692307692307693
"kansascity, KS",0,-0.5
"stockton, CA",0,-0.15789473684210525
"richmond, VA",7,0.5555555555555556
"modesto, CA",0,0.14285714285714285
"mesa, AZ",0,0.4
"houston, TX",5,-0.21839080459770116
"denver, CO",10,0.05555555555555555
"neworleans, LA",3,-0.45454545454545453
"sanjose, CA",1,-0.2
"riverside, CA",1,-0.23076923076923078
"bronx, NY",1,0.3333333333333333
"pueblo, CO",0,0.23076923076923078
"lascruces, NM",0,0.2857142857142857
"knoxville, TN",2,-0.45454545454545453
"batonrouge, LA",2,0.2
"littlerock, AR",3,0.2727272727272727
"lakeland, FL",0,0.25
"tampa, FL",4,0.0
"fresno, CA",0,-0.3076923076923077
"miami, FL",4,-0.21052631578947367
"scottsdale, AZ",0,0.09090909090909091
"glendale, AZ",0,0.23076923076923078
"fortworth, TX",0,-0.38461538461538464
"kansascity, MO",3,0.030303030303030304
"wichita, KS",0,-0.09090909090909091
"anchorage, AK",2,0.5
"tulsa, OK",0,0.2
"sanbernardino, CA",0,-0.45454545454545453
"honolulu, HI",3,0.25
"oakland, CA",17,-0.4666666666666667
"indianapolis, IN",2,-0.5714285714285714
"oklahomacity, OK",0,-0.19047619047619047
"orlando, FL",5,-0.14285714285714285
"akron, OH",0,0.0
"westminster, CO",0,1.0
"fayetteville, NC",1,-0.3333333333333333
"milwaukee, WI",17,0.125
"chicago, IL",27,-0.1780821917808219
"coloradosprings, CO",0,0.6363636363636364
"saltlakecity, UT",4,-0.07692307692307693
"bakersfield, CA",1,-0.2857142857142857
"austin, TX",2,0.18518518518518517
"sanfrancisco, CA",15,-0.1
"huntsville, AL",1,0.09090909090909091
"charlotte, NC",6,0.3
"baltimore, MD",16,-0.1724137931034483
"detroit, MI",4,0.1111111111111111
"tallahassee, FL",3,-0.5555555555555556
"newyork, NY",43,-0.7777777777777778
"brooklyn, NY",1,0.375
"spokane, WA",0,0.06666666666666667
"dallas, TX",7,-0.2
"boston, MA",16,-0.14285714285714285
"tempe, AZ",0,-0.14285714285714285
"newark, NJ",5,0.6666666666666666
"compton, CA",0,-0.3333333333333333
"birmingham, AL",4,0.2857142857142857
"albuquerque, NM",4,0.1111111111111111
"sandiego, CA",4,-0.3103448275862069
"longbeach, CA",0,-0.16666666666666666
"arlington, TX",0,0.4
"springfield, MO",1,-0.1111111111111111
"jacksonville, FL",4,-0.11764705882352941
"shreveport, LA",1,-0.1111111111111111
"nashville, TN",3,-0.16666666666666666
"amarillo, TX",0,0.25
"washington, DC",22,-0.36
"cleveland, OH",19,-0.38461538461538464
"cincinnati, OH",9,-0.2
"st.louis, MO",32,0.13513513513513514
"billings, MT",0,0.09090909090909091
"louisville, KY",3,0.13043478260869565
"norfolk, VA",1,0.2727272727272727
